1.0000,0.0000,20.0000,40.0000,60.0000,80.0000,100.0000,120.0000,140.0000,160.0000,180.0000,200.0000,220.0000,240.0000,260.0000,280.0000,300.0000,320.0000,340.0000
0.0000,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751,39.0751
10.0000,38.6420,38.8789,39.0917,39.2538,39.1791,39.2759,39.5025,39.3283,39.1760,39.1403,39.2106,39.2534,39.2102,39.1383,38.9502,38.8101,38.5867,38.5426
20.0000,37.9501,38.7197,38.7234,38.5066,39.4708,39.7529,39.4211,38.8781,38.7193,38.6974,38.7546,38.8417,39.5368,39.3606,39.0228,38.4699,37.9287,37.5984
30.0000,37.4854,35.9327,37.2687,38.7435,39.1590,40.1829,39.3310,39.6674,39.3201,38.7655,39.0165,37.8282,37.8457,39.4901,39.1670,38.2178,37.1686,36.3489
40.0000,36.9023,36.1153,37.6559,38.4207,39.7571,40.6064,40.4492,40.1521,41.3596,42.0901,37.0494,33.7224,32.7104,37.7596,39.5594,38.0895,36.6919,36.9357
50.0000,36.4974,37.1969,36.9518,36.4850,39.7362,40.0124,39.8712,40.3337,41.6535,41.7767,35.8664,32.7003,32.7357,37.7300,39.7573,37.6390,36.6295,37.2891
60.0000,36.4221,37.4366,34.7384,36.7759,38.8120,38.8811,38.4776,38.6757,38.6267,38.3775,37.4013,34.5419,34.5289,38.7560,39.3796,36.1910,35.7671,37.5978
70.0000,37.9461,37.8889,38.4352,37.2589,38.1161,38.2097,37.9446,38.2603,37.2885,36.9143,37.0336,38.2611,39.2220,38.8848,37.9243,36.7534,36.7161,37.6386
80.0000,38.9591,38.2402,38.0446,38.2340,37.7425,37.9421,38.0868,38.0772,37.9301,37.9718,37.2537,38.1655,38.3878,37.7407,37.1596,37.1898,37.2902,37.5248
90.0000,38.7145,37.6387,37.9968,38.0007,37.9722,37.7558,38.1802,38.1960,37.2224,38.2453,37.2349,37.4379,37.5124,37.1174,37.1858,37.8730,38.4347,37.7562
100.0000,37.6553,37.0611,37.4766,38.1860,38.3402,37.9127,38.0172,38.0277,36.0364,38.1175,37.0460,37.1477,37.1801,36.9398,37.7204,38.3566,38.9865,38.2741
110.0000,36.2822,36.0138,36.7594,38.1494,38.7994,38.2068,38.0168,37.3812,35.3524,37.6494,36.8849,37.0180,35.2618,37.0468,38.2374,39.1477,39.5254,37.7539
120.0000,36.6012,37.8155,37.3054,34.0519,33.9006,38.4373,38.4108,37.6921,35.8172,37.3659,36.6115,36.2241,34.7080,37.3741,38.8307,40.0781,39.7172,39.1403
130.0000,38.0504,41.5221,33.9683,31.6606,32.3035,38.3605,38.3878,37.0973,36.1266,36.1939,34.6807,35.9443,34.3561,36.8023,38.0845,40.3913,40.9122,39.4016
140.0000,39.0547,40.2903,33.6662,32.3775,33.1692,37.9018,37.8225,36.8887,35.7902,36.2196,34.6910,35.8219,35.3992,37.0835,38.7391,39.1509,38.9173,38.1776
150.0000,37.4672,37.2895,36.7861,35.4266,36.7115,37.6987,36.9682,35.7873,35.3453,34.8798,34.3888,35.0414,35.3421,36.4766,37.1055,38.1440,37.4657,37.0235
160.0000,36.3643,36.5134,36.3973,37.2342,37.4186,37.1676,36.6702,36.0932,35.5698,35.5199,36.0480,35.6514,36.4728,37.4346,37.5717,37.4216,36.6076,36.4164
170.0000,36.9251,36.9616,37.0805,36.9818,36.9831,36.9477,36.7335,36.5492,36.4557,36.4580,36.5569,36.7139,36.9353,37.0268,37.1595,37.1428,37.0181,36.9183
180.0000,36.8950,36.8953,36.8955,36.8958,36.8958,36.8964,36.8961,36.8954,36.8955,36.8958,36.8951,36.8954,36.8950,36.8950,36.8950,36.8952,36.8951,36.8948
